colony_id,Genotype,timepoint,month,nutrient,site_code,Host_AFDW.mg.cm2,Sym_AFDW.mg.cm2,Host_DW.mg.cm2,Sym_DW.mg.cm2,chla.ug.cm2,chlc2.ug.cm2,Am,AQY,Rd,cells.cm2,chla.ug.cell,chlc2.ug.cell
ACR-187,Genotype4,timepoint1,Jan-20,High,Manava High,0.830154409,0.743679992,165.2837429,198.9430452,0.897692659,0.286859856,0.970064732,0.002189791,0.457409418,364729.877,2.46E-06,7.86E-07
ACR-225,Genotype4,timepoint4,Nov-20,Low,Mahana Low,1.114715061,0.734356206,118.4460071,219.4971869,1.1117927,0.679697508,1.470723601,0.00096151,0.333667665,248237.5037,4.48E-06,2.74E-06
ACR-390,Genotype4,timepoint4,Nov-20,Medium,Hilton Medium,0.900715107,0.55307068,188.3600715,223.6380798,0.823905441,0.59869111,0.727212729,0.001599708,0.142400705,301555.2039,2.73E-06,1.99E-06
ACR-187,Genotype4,timepoint4,Nov-20,High,Manava High,1.103404135,0.646823114,91.70429816,108.5806742,1.644909227,0.531289091,0.912566741,0.002648857,0.16686225,257778.035,6.38E-06,2.06E-06
ACR-234,Genotype6,timepoint1,Jan-20,Low,Mahana Low,0.668959991,1.300755538,291.7904376,357.0573952,1.76292224,2.015917127,0.830871307,0.002188781,0.523847812,624913.2426,2.82E-06,3.23E-06
ACR-389,Genotype6,timepoint1,Jan-20,Medium,Hilton Medium,0.898552238,0.582394969,396.0618587,478.4374671,0.739853769,0.044653054,1.003276685,0.003554886,0.511634302,363611.6738,2.03E-06,1.23E-07
ACR-185,Genotype6,timepoint1,Jan-20,High,Manava High,2.317888848,0.740436715,309.7214587,371.0231801,3.040757897,3.768925898,1.062039664,0.002182551,0.342764993,1161806.015,2.62E-06,3.24E-06
ACR-185,Genotype6,timepoint1,Jan-20,High,Manava High,2.317888848,0.740436715,309.7214587,371.0231801,2.410971401,1.519395455,1.062039664,0.002182551,0.342764993,1161806.015,2.08E-06,1.31E-06
ACR-234,Genotype6,timepoint4,Nov-20,Low,Mahana Low,0.898298503,0.622462278,77.46848177,141.8237582,0.756318519,0.337359908,0.885795825,0.00223997,0.325491307,187687.9722,4.03E-06,1.80E-06
ACR-389,Genotype6,timepoint4,Nov-20,Medium,Hilton Medium,1.537580112,0.778839599,123.4485889,144.3993741,0.916726869,0.404624759,0.710761252,0.002573439,0.271255254,288505.6365,3.18E-06,1.40E-06
ACR-178,Genotype6,timepoint4,Nov-20,High,Manava High,0.715530011,0.759210622,98.70986105,119.8200764,1.224248968,0.416519588,0.952835963,0.002499711,0.361786429,277337.2136,4.41E-06,1.50E-06
ACR-244,Genotype8,timepoint1,Jan-20,Low,Mahana Low,1.392815939,1.320773735,567.9807344,685.601639,2.796057986,3.685439003,1.123817654,0.003333594,0.607528247,906245.1821,3.09E-06,4.07E-06
ACR-256,Genotype8,timepoint1,Jan-20,Low,Mahana Low,1.300615731,1.225217718,226.4202343,273.9304075,1.960543127,1.793115555,1.421912213,0.003096048,0.649251325,1016825.987,1.93E-06,1.76E-06
ACR-343,Genotype8,timepoint1,Jan-20,Medium,Hilton Medium,1.10615356,0.910553235,320.1909866,389.8179573,0.898233787,0.358515161,0.919653995,0.003523642,0.504778473,826242.7505,1.09E-06,4.34E-07
ACR-374,Genotype8,timepoint1,Jan-20,Medium,Hilton Medium,0.807957515,0.679102221,165.0462178,200.2480909,0.851178018,0.342988413,0.972464644,0.001851839,0.586148357,563790.2772,1.51E-06,6.08E-07
ACR-140,Genotype8,timepoint1,Jan-20,High,Manava High,0.85124911,0.81850876,193.9047253,238.2065119,0.811578037,0.529006304,0.739543227,0.002678071,0.415399972,403797.655,2.01E-06,1.31E-06
ACR-180,Genotype8,timepoint1,Jan-20,High,Manava High,1.627113382,1.179657202,390.7350074,463.4832467,2.029559538,1.794380637,0.999595572,0.002729453,0.434660122,698302.8262,2.91E-06,2.57E-06
ACR-256,Genotype8,timepoint4,Nov-20,Low,Mahana Low,1.295791144,0.544821276,93.39120173,169.0565696,0.640397653,0.327131309,0.441450994,0.001067589,0.187579836,196086.5765,3.27E-06,1.67E-06
ACR-343,Genotype8,timepoint4,Nov-20,Medium,Hilton Medium,0.693497777,0.735195428,103.8754328,126.2231792,0.670919596,0.264874453,0.739905939,0.002315523,0.232428594,196539.806,3.41E-06,1.35E-06
ACR-180,Genotype8,timepoint4,Nov-20,High,Manava High,0.505304027,0.503330183,94.57080683,113.8019675,0.561680955,0.299250519,0.815681236,0.002436507,0.348568543,214820.0063,2.61E-06,1.39E-06
